path,gt_label,clip_index
abseiling/YqTT34PsD5c_000003_000013.mp4,0,-1
air drumming/--nQbRBEz2s_000104_000114.mp4,1,-1
answering questions/AqPeHqTDfGE_000068_000078.mp4,2,-1
applauding/ieIq7ym_UXQ_000007_000017.mp4,3,-1
applying cream/rFee2NCkWQE_000013_000023.mp4,4,-1
archery/FzfqEd36YbY_001101_001111.mp4,5,-1
arm wrestling/_Lo3hFbum_o_000005_000015.mp4,6,-1
arranging flowers/cuOsRai-HCE_000126_000136.mp4,7,-1
assembling computer/CB1iIWtDpSI_000431_000441.mp4,8,-1
auctioning/6jcDGC4LF5s_001022_001032.mp4,9,-1
baby waking up/X66nHKtYtt0_000008_000018.mp4,10,-1
baking cookies/LG2hEf9ueAM_000178_000188.mp4,11,-1
balloon blowing/qjyGo-e_d6I_000076_000086.mp4,12,-1
bandaging/TwSUMZOrLyE_000139_000149.mp4,13,-1
barbequing/_7mBVhDgiO8_000019_000029.mp4,14,-1
bartending/TuCc2RwG2fM_000354_000364.mp4,15,-1
beatboxing/rYnVViYbae0_000000_000010.mp4,16,-1
bee keeping/EpbYRgIsQRg_000018_000028.mp4,17,-1
belly dancing/cMVkWCb3fE8_000103_000113.mp4,18,-1
bench pressing/ehxWC3nDZC8_000003_000013.mp4,19,-1
bending back/DA8K3c4HgVo_000003_000013.mp4,20,-1
bending metal/U-iQuIgd5ps_000478_000488.mp4,21,-1
biking through snow/g3GJvDqtfys_000031_000041.mp4,22,-1
blasting sand/NAqrwQ54ptY_000028_000038.mp4,23,-1
blowing glass/p2NEs8gon0k_000381_000391.mp4,24,-1
blowing leaves/wKgo6AS5C80_000044_000054.mp4,25,-1
blowing nose/gu0QuD4zpzg_000030_000040.mp4,26,-1
blowing out candles/9IzWImcF3hM_000032_000042.mp4,27,-1
bobsledding/uftReOMM9-A_000063_000073.mp4,28,-1
bookbinding/hmoPcSFBYPY_000222_000232.mp4,29,-1
bouncing on trampoline/bekao5nG02M_000024_000034.mp4,30,-1
